ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor
300750.SZ,宁德时代,新能源汽车,2025-02-17,262.46,256.96,262.46,253.58,241830,6513084025.0,3.45,-0.12,-0.31,0.62,257.27,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-18,260.52,258.33,263.06,256.56,238458,6497674092.0,2.53,0.53,1.37,0.61,256.96,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-19,256.13,261.11,263.56,256.11,204455,5580141095.0,2.88,1.08,2.78,0.52,258.33,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-20,260.36,257.76,260.36,254.56,195890,5267400818.0,2.22,-1.28,-3.35,0.5,261.11,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-21,256.14,263.11,264.44,255.34,309519,8443562273.0,3.53,2.08,5.35,0.79,257.76,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-24,260.57,259.06,262.26,255.72,277538,7510840227.0,2.49,-1.54,-4.05,0.71,263.11,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-25,255.04,257.04,261.56,252.07,232094,6243748571.0,3.66,-0.78,-2.02,0.59,259.06,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-26,259.01,256.18,260.44,254.74,211731,5698649749.0,2.22,-0.33,-0.86,0.54,257.04,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-27,257.83,257.56,259.26,255.23,231851,6250587949.0,1.57,0.54,1.38,0.59,256.18,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-02-28,257.16,251.86,258.87,251.17,222655,5935077344.0,2.99,-2.21,-5.7,0.57,257.56,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-03,252.56,261.09,266.86,249.8,387364,10603328988.0,6.77,3.66,9.23,0.99,251.86,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-04,257.56,250.56,258.56,250.29,268365,7115460892.0,3.17,-4.03,-10.53,0.69,261.09,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-05,250.56,248.55,251.45,246.06,208696,5438997025.0,2.15,-0.8,-2.01,0.53,250.56,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-06,249.81,251.87,253.09,248.56,250273,6601078271.0,1.82,1.34,3.32,0.64,248.55,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-07,250.52,248.32,251.14,246.24,222871,5812794648.0,1.95,-1.41,-3.55,0.57,251.87,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-10,249.36,244.06,249.42,241.17,286751,7355227161.0,3.32,-1.72,-4.26,0.73,248.32,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-11,240.63,242.76,243.06,240.61,171351,4355529582.0,1.0,-0.53,-1.3,0.44,244.06,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-12,243.57,242.06,244.18,239.05,199147,5058919203.0,2.11,-0.29,-0.7,0.51,242.76,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-13,241.56,240.78,246.76,240.56,168852,4316530458.0,2.56,-0.53,-1.28,0.43,242.06,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-14,240.56,249.56,252.41,240.21,351089,9148092796.0,5.07,3.65,8.78,0.9,240.78,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-17,250.66,243.56,253.03,243.3,335155,8685706367.0,3.9,-2.4,-6.0,0.86,249.56,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-18,245.56,244.56,248.34,243.06,225767,5817534421.0,2.17,0.41,1.0,0.58,243.56,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-19,244.76,252.95,254.53,244.34,369541,9737109378.0,4.17,3.43,8.39,0.95,244.56,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-03-20,252.95,249.71,254.06,248.58,144247,3794188019.0,2.17,-1.28,-3.24,0.37,252.95,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
