ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor
600519.SH,贵州茅台,食品饮料,2025-09-26,1389.2,1383.02,1395.13,1376.03,45121,6480889597.0,1.38,-0.29,-4.0,0.36,1387.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-29,1387.4,1408.88,1418.01,1383.02,53684,7798434586.0,2.53,1.87,25.86,0.43,1383.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-09-30,1408.02,1392.01,1408.78,1388.02,39364,5687474876.0,1.47,-1.2,-16.87,0.31,1408.88,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-09,1384.02,1384.8,1387.4,1368.02,54918,7845448947.0,1.39,-0.52,-7.21,0.44,1392.01,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-10,1385.62,1378.02,1387.96,1375.52,36001,5157459262.0,0.9,-0.49,-6.78,0.29,1384.8,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-13,1363.72,1367.22,1370.87,1363.14,46069,6533147458.0,0.56,-0.78,-10.8,0.37,1378.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-14,1378.01,1399.04,1412.02,1378.01,66672,9639484605.0,2.49,2.33,31.82,0.53,1367.22,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-15,1399.0,1410.02,1411.02,1393.1,42785,6233407482.0,1.28,0.78,10.98,0.34,1399.04,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-16,1409.94,1432.93,1432.97,1406.9,45730,6749162949.0,1.85,1.62,22.91,0.37,1410.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-17,1431.12,1403.02,1436.02,1402.05,38086,5594724900.0,2.37,-2.09,-29.91,0.3,1432.93,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-20,1403.02,1405.95,1417.52,1402.9,25950,3793283759.0,1.04,0.21,2.93,0.21,1403.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-21,1407.02,1410.28,1417.96,1403.52,25443,3727984130.0,1.03,0.31,4.33,0.2,1405.95,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-22,1410.1,1406.72,1413.75,1404.02,18195,2657486636.0,0.69,-0.25,-3.56,0.15,1410.28,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-23,1403.02,1416.0,1416.82,1395.22,29322,4274652090.0,1.54,0.66,9.28,0.23,1406.72,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-24,1415.97,1398.02,1426.9,1397.36,38226,5578603148.0,2.09,-1.27,-17.98,0.31,1416.0,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-27,1388.02,1388.43,1400.51,1384.01,37102,5352667152.0,1.18,-0.69,-9.59,0.3,1398.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-10-28,1390.02,1393.02,1399.22,1389.12,27124,3923817140.0,0.73,0.33,4.59,0.22,1388.43,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
