ts_code,stock_name,industry,parameter,short_window,long_window,sample_period,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,benchmark_return,excess_return,buy_count,sell_count,holding_ratio,total_cost_rate
002594.SZ,比亚迪,新能源汽车,MA5/MA10,5,10,样本外,609,0.17012664418236234,0.06717167692153381,0.25292872203283784,0.3822711008330728,-0.3236333117286301,0.41420490257699605,-0.2440782583946337,31,31,0.5041050903119869,0.062
002594.SZ,比亚迪,新能源汽车,MA5/MA15,5,15,全样本,1823,4.144598797299388,0.25410164580588956,0.3513322983876594,0.8178031970312878,-0.4193265953044092,5.67655786350147,-1.5319590662020826,69,68,0.5002742731760834,0.137
002594.SZ,比亚迪,新能源汽车,MA5/MA15,5,15,样本内,1214,2.8837495550775465,0.3253047011722643,0.3886358841136977,0.9163334854425828,-0.36736706793352536,3.721068249258158,-0.8373186941806114,47,46,0.5057660626029654,0.093
002594.SZ,比亚迪,新能源汽车,MA5/MA15,5,15,样本外,609,0.32464741207975933,0.12337372076054343,0.26163792144959575,0.5739755367305303,-0.2788958374937457,0.41420490257699605,-0.08955749049723671,22,22,0.48932676518883417,0.044
002594.SZ,比亚迪,新能源汽车,MA10/MA20,10,20,全样本,1823,2.0093028216745124,0.16450163171612342,0.34460229172204915,0.6128214398473479,-0.47426765574852914,5.67655786350147,-3.667255041826958,54,54,0.48381788261108066,0.10800000000000001
002594.SZ,比亚迪,新能源汽车,MA10/MA20,10,20,样本内,1214,2.217578630620112,0.2745357409050453,0.3790049090294169,0.8279223319018734,-0.4026178664012856,3.721068249258158,-1.5034896186380458,36,36,0.48929159802306427,0.07200000000000001
002594.SZ,比亚迪,新能源汽车,MA10/MA20,10,20,样本外,609,-0.06473060423871024,-0.027311420924071572,0.26273791347901315,0.025271186841803094,-0.44347899485323383,0.41420490257699605,-0.4789355068157063,18,18,0.4729064039408867,0.036000000000000004
002594.SZ,比亚迪,新能源汽车,MA10/MA30,10,30,全样本,1823,2.3598076222374833,0.18237265806355762,0.35298367669392555,0.6495532682598579,-0.39300994592638516,5.67655786350147,-3.316750241263987,35,35,0.49149753154141523,0.07
002594.SZ,比亚迪,新能源汽车,MA10/MA30,10,30,样本内,1214,1.909429775301657,0.2481777299311676,0.39250597528211967,0.7591987874361321,-0.3675277416115903,3.721068249258158,-1.811638473956501,22,22,0.5107084019769358,0.044000000000000004
002594.SZ,比亚迪,新能源汽车,MA10/MA30,10,30,样本外,609,0.15479935304131298,0.06136502385682041,0.2567272587821935,0.3595888819829823,-0.36114157206676245,0.41420490257699605,-0.25940554953568307,13,13,0.45320197044334976,0.026000000000000002
002594.SZ,比亚迪,新能源汽车,MA20/MA60,20,60,全样本,1823,3.756046808773398,0.24056128570014557,0.3641142968854531,0.7723957193468606,-0.37375492239981467,5.67655786350147,-1.9205110547280722,16,16,0.4947888096544158,0.032
002594.SZ,比亚迪,新能源汽车,MA20/MA60,20,60,样本内,1214,3.4222842103299884,0.36151429083375364,0.40777924400211935,0.9586769312991914,-0.37375492239981467,3.721068249258158,-0.2987840389281695,9,9,0.5041186161449753,0.018000000000000002
002594.SZ,比亚迪,新能源汽车,MA20/MA60,20,60,样本外,609,0.07547289648724553,0.030565602424966976,0.25547766382959936,0.24496980062182766,-0.29265552489580027,0.41420490257699605,-0.3387320060897505,7,7,0.47619047619047616,0.014000000000000002
300750.SZ,宁德时代,新能源汽车,MA5/MA10,5,10,全样本,1823,0.9114818851823743,0.09369149922412157,0.40416462618894833,0.41935834757095974,-0.7069767510762939,16.32538499751608,-15.413903112333704,102,102,0.5271530444322545,0.20400000000000001
300750.SZ,宁德时代,新能源汽车,MA5/MA10,5,10,样本内,1214,0.1619201805247339,0.031642395995631345,0.42321273104045903,0.2808870655578596,-0.6640285319897579,6.18132141082959,-6.019401230304856,70,69,0.514827018121911,0.139
300750.SZ,宁德时代,新能源汽车,MA5/MA10,5,10,样本外,609,0.6451060212407469,0.22873871296683834,0.3634759550880761,0.743892452338321,-0.24077686650267582,1.412562257885999,-0.7674562366452522,32,33,0.5517241379310345,0.065
300750.SZ,宁德时代,新能源汽车,MA5/MA15,5,15,全样本,1823,6.369287488885755,0.31797574999986367,0.41591179682481205,0.8668944156263881,-0.5742099870720128,16.32538499751608,-9.956097508630323,69,69,0.5447065277015908,0.138
300750.SZ,宁德时代,新能源汽车,MA5/MA15,5,15,样本内,1214,3.7981277138369647,0.3847637802096684,0.4373729251302413,0.9578629409148809,-0.4897495116660735,6.18132141082959,-2.3831936969926257,47,46,0.5271828665568369,0.093
300750.SZ,宁德时代,新能源汽车,MA5/MA15,5,15,样本外,609,0.535867306665063,0.1942957151134117,0.3696643282212912,0.6604687442010528,-0.344512204357482,1.412562257885999,-0.8766949512209361,22,23,0.5796387520525451,0.045
300750.SZ,宁德时代,新能源汽车,MA10/MA20,10,20,全样本,1823,14.992161754242431,0.4669675931084645,0.42088427896127134,1.1165562750052072,-0.5188452474237975,16.32538499751608,-1.3332232432736468,51,51,0.5397696105320899,0.10200000000000001
300750.SZ,宁德时代,新能源汽车,MA10/MA20,10,20,样本内,1214,9.042697072423108,0.6142186059112942,0.4482358169320381,1.2882650265830957,-0.4859384329081684,6.18132141082959,2.8613756615935175,34,34,0.5345963756177924,0.068
300750.SZ,宁德时代,新能源汽车,MA10/MA20,10,20,样本外,609,0.5924170209371702,0.21229891060241202,0.36018684045997873,0.709731667501027,-0.2623991834964746,1.412562257885999,-0.8201452369488289,17,17,0.5500821018062397,0.034
300750.SZ,宁德时代,新能源汽车,MA10/MA30,10,30,全样本,1823,17.471062774807628,0.4964831625274577,0.4173627902654966,1.1705803147126226,-0.4024390984393953,16.32538499751608,1.1456777772915494,36,36,0.5463521667580911,0.07200000000000001
300750.SZ,宁德时代,新能源汽车,MA10/MA30,10,30,样本内,1214,8.804064174897249,0.6061805272362824,0.44004083590091636,1.2931298910873157,-0.37740355704155215,6.18132141082959,2.6227427640676586,24,24,0.5230642504118617,0.048
300750.SZ,宁德时代,新能源汽车,MA10/MA30,10,30,样本外,609,0.8840209983632827,0.29965649533602146,0.36814679730695593,0.8913255400816422,-0.23656818420775916,1.412562257885999,-0.5285412595227164,12,12,0.5927750410509032,0.024
300750.SZ,宁德时代,新能源汽车,MA20/MA60,20,60,全样本,1823,6.710422121289685,0.3262459737475989,0.4187457055756846,0.8798333392632722,-0.4707479299579206,16.32538499751608,-9.614962876226393,16,16,0.56006582556226,0.032
300750.SZ,宁德时代,新能源汽车,MA20/MA60,20,60,样本内,1214,2.844470869781482,0.3225111884152059,0.4415978060864463,0.8501810549879402,-0.4707479299579206,6.18132141082959,-3.3368505410481086,11,11,0.528830313014827,0.022
300750.SZ,宁德时代,新能源汽车,MA20/MA60,20,60,样本外,609,1.0055873441246659,0.33372251148865084,0.36933846014133676,0.9596866067892109,-0.3521875905868801,1.412562257885999,-0.4069749137613332,5,5,0.6223316912972086,0.01
002371.SZ,北方华创,半导体,MA5/MA10,5,10,全样本,1823,1.5119508212840174,0.1357820772560625,0.39809582177696734,0.5168541752295905,-0.4760781398913505,30.282952548330407,-28.77100172704639,97,97,0.5309928688974218,0.194
002371.SZ,北方华创,半导体,MA5/MA10,5,10,样本内,1214,1.3602220142498185,0.19513482844390162,0.4310976245073249,0.6267950860217237,-0.423602267342576,6.025307557117749,-4.6650855428679305,63,62,0.5271828665568369,0.125
002371.SZ,北方华创,半导体,MA5/MA10,5,10,样本外,609,0.06428581977379122,0.02611616158210195,0.3225642264056051,0.23956794913728133,-0.34939250546791634,3.4528943813478765,-3.3886085615740855,34,35,0.5385878489326765,0.069
002371.SZ,北方华创,半导体,MA5/MA15,5,15,全样本,1823,2.645742790719644,0.1957978001096088,0.40470346097231075,0.6421339447504169,-0.6806883413482749,30.282952548330407,-27.637209757610762,69,68,0.5315414152495886,0.137
002371.SZ,北方华创,半导体,MA5/MA15,5,15,样本内,1214,1.4301736930021907,0.20240263818772442,0.43071726154788215,0.6410915215625045,-0.66295887965411,6.025307557117749,-4.595133864115558,41,40,0.514827018121911,0.081
002371.SZ,北方华创,半导体,MA5/MA15,5,15,样本外,609,0.5001984431062447,0.1827395554174276,0.3474051000611046,0.65476841844186,-0.3520591081333364,3.4528943813478765,-2.952695938241632,28,28,0.5648604269293924,0.05600000000000001
002371.SZ,北方华创,半导体,MA10/MA20,10,20,全样本,1823,2.532577925357688,0.19059687988987672,0.40979631703995245,0.6284994870457701,-0.7347910242409117,30.282952548330407,-27.750374622972718,51,50,0.5458036204059243,0.101
002371.SZ,北方华创,半导体,MA10/MA20,10,20,样本内,1214,1.0784526994188717,0.16400794473690117,0.4384400078847635,0.5632094372215583,-0.7220310810658401,6.025307557117749,-4.946854857698877,32,31,0.528830313014827,0.063
002371.SZ,北方华创,半导体,MA10/MA20,10,20,样本外,609,0.6996191091312207,0.24542593593310325,0.34602485016242235,0.8055301518338419,-0.22505974630080594,3.4528943813478765,-2.753275272216656,19,19,0.5796387520525451,0.038000000000000006
002371.SZ,北方华创,半导体,MA10/MA30,10,30,全样本,1823,5.3779626492487935,0.29191562484263467,0.4174889330491322,0.8201943874526236,-0.6972105573290583,30.282952548330407,-24.904989899081613,40,39,0.564454196379594,0.07900000000000001
002371.SZ,北方华创,半导体,MA10/MA30,10,30,样本内,1214,1.673174455718779,0.22642665747769897,0.4469083522957862,0.6776051267707721,-0.6703919919396097,6.025307557117749,-4.3521331013989695,26,26,0.5189456342668863,0.052
002371.SZ,北方华创,半导体,MA10/MA30,10,30,样本外,609,1.3859133606503953,0.4330815262377996,0.35186907056217254,1.1974664138422804,-0.2697137936140508,3.4528943813478765,-2.0669810206974812,14,13,0.6551724137931034,0.027000000000000003
002371.SZ,北方华创,半导体,MA20/MA60,20,60,全样本,1823,2.750867485970697,0.2005060168874937,0.4350970303494936,0.6360683848124171,-0.5439447482806039,30.282952548330407,-27.53208506235971,19,18,0.6083379045529347,0.037
002371.SZ,北方华创,半导体,MA20/MA60,20,60,样本内,1214,0.49366304362657987,0.08685362403657937,0.46883346016126454,0.4103343596502394,-0.5439447482806039,6.025307557117749,-5.53164451349117,13,13,0.5461285008237232,0.026
002371.SZ,北方华创,半导体,MA20/MA60,20,60,样本外,609,1.511187179716039,0.46375101016560794,0.3586246499673497,1.2406934847984707,-0.242954996249093,3.4528943813478765,-1.9417072016318375,6,5,0.7323481116584565,0.011
