ts_code,trade_date,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,qfq_change,qfq_pct_chg
688256.SH,2025-12-30,2025-12-30,1358.88,1439.0,1358.88,1415.8,1358.5,57.3,4.2179,91353.67,12869406.686,1.0,911.2660944206009,964.994635193133,911.2660944206009,949.4366952789699,911.0112660944205,38.42542918454933,4.2178873757821105
688256.SH,2025-12-31,2025-12-31,1426.0,1432.0,1348.16,1355.55,1415.8,-60.25,-4.2555,70267.42,9747441.408,1.0,956.2768240343347,960.3004291845493,904.0772532188842,909.0329935622317,949.4366952789699,-40.40370171673817,-4.255544568441868
688256.SH,2026-01-05,2026-01-05,1375.0,1403.48,1346.78,1390.0,1355.55,34.45,2.5414,65515.02,9038942.469,1.0,922.0761802575107,941.1748927038626,903.1518240343347,932.1351931330472,909.0329935622317,23.102199570815515,2.541403858212541
688256.SH,2026-01-06,2026-01-06,1380.0,1430.0,1363.06,1383.1,1390.0,-6.9,-0.4964,69600.13,9668802.273,1.0,925.4291845493561,958.9592274678112,914.0692060085836,927.5080472103003,932.1351931330472,-4.627145922746877,-0.496402877697852
688256.SH,2026-01-07,2026-01-07,1370.0,1399.93,1356.88,1394.88,1383.1,11.78,0.8517,68366.43,9416481.263,1.0,918.7231759656652,938.7942596566523,909.9248927038627,935.4077253218884,927.5080472103003,7.899678111588059,0.8517099269756427
688256.SH,2026-01-08,2026-01-08,1409.0,1486.0,1401.0,1444.0,1394.88,49.12,3.5214,149220.62,21582860.951,1.0,944.87660944206,996.5128755364806,939.5118025751073,968.3476394849785,935.4077253218884,32.939914163090066,3.521449873824265
688256.SH,2026-01-09,2026-01-09,1419.99,1512.0,1391.0,1491.0,1444.0,47.0,3.2548,102204.98,14899518.827,1.0,952.2465128755364,1013.9484978540772,932.8057939914163,999.8658798283261,968.3476394849785,31.518240343347657,3.254847645429365
688256.SH,2026-01-12,2026-01-12,1534.44,1550.0,1463.0,1509.99,1491.0,18.99,1.2736,94844.44,14379497.916,1.0,1028.99678111588,1039.431330472103,981.0890557939914,1012.6005901287554,999.8658798283261,12.734710300429242,1.2736418511066459
688256.SH,2026-01-13,2026-01-13,1485.0,1520.0,1399.99,1408.09,1509.99,-101.9,-6.7484,100029.88,14468557.793,1.0,995.8422746781115,1019.31330472103,938.8344957081545,944.2663626609441,1012.6005901287554,-68.33422746781127,-6.748389062179232
688256.SH,2026-01-14,2026-01-14,1420.0,1449.98,1388.09,1439.12,1408.09,31.03,2.2037,89478.25,12769174.184,1.0,952.2532188841201,972.3578326180257,930.8543454935622,965.0751072961372,944.2663626609441,20.80874463519308,2.2036943661271597
688256.SH,2026-01-15,2026-01-15,1421.0,1444.0,1392.45,1415.0,1439.12,-24.12,-1.676,57838.7,8160415.979,1.0,952.9238197424892,968.3476394849785,933.7781652360514,948.9002145922747,965.0751072961372,-16.174892703862497,-1.6760242370337262
688256.SH,2026-01-16,2026-01-16,1420.0,1445.0,1408.03,1424.05,1415.0,9.05,0.6396,72255.59,10308466.086,1.0,952.2532188841201,969.0182403433475,944.226126609442,954.969152360515,948.9002145922747,6.068937768240289,0.6395759717314431
688256.SH,2026-01-19,2026-01-19,1422.0,1458.58,1408.0,1419.66,1424.05,-4.39,-0.3083,69119.05,9918274.016,1.0,953.5944206008584,978.1249999999999,944.206008583691,952.0252145922747,954.969152360515,-2.943937768240289,-0.30827569256696885
688256.SH,2026-01-20,2026-01-20,1417.0,1425.0,1331.02,1343.04,1419.66,-76.62,-5.3971,87374.01,11952219.696,1.0,950.2414163090128,955.6062231759656,892.5831545064377,900.6437768240343,952.0252145922747,-51.3814377682404,-5.3970669033430605
